feature,importance_cap99
Low Price,0.004645666045666061
Bid Price,0.00428359187739942
Price Change 1 Day Percent,0.004071669288613011
High Price,0.0039372959479738465
Moving Average 20 Day,0.003833109290962668
Price to Book Ratio,0.0038267834425470214
Price Earnings Ratio,0.0036500968334656197
Price to Sales Ratio,0.0036187492761740026
Ask Price,0.003539320659454888
Dividend Indicated Yld - Gross,0.0029227242790788813
exchange_rate_usd_idr,0.002486296406599512
bi_rate,0.0023588066460439685
ihsg_close,0.00209097444794838
cpi_index,0.0019529698889816586
ihsg_return_1d,0.0013977706188393615
inflation_rate,0.0013890969057132876
